taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_species.report,W133-25PVC-2-17_kraken2_bracken_species.report,W132-25PVC-1-17_kraken2_bracken_species.report,W131-25PET-3-17_kraken2_bracken_species.report,W130-25PET-2-17_kraken2_bracken_species.report,W129-25PET-1-17_kraken2_bracken_species.report,W128-25PE0.6-3-17_kraken2_bracken_species.report,W127-25PE0.6-2-17_kraken2_bracken_species.report,W126-25PE0.6-1-17_kraken2_bracken_species.report,W125-25S-3-17_kraken2_bracken_species.report,W124-25S-2-17_kraken2_bracken_species.report,W123-25S-1-17_kraken2_bracken_species.report,Q66-25S-3-0_kraken2_bracken_species.report,Q65-25S-2-0_kraken2_bracken_species.report,Q64-25S-1-0_kraken2_bracken_species.report,Q63-25PVC-3-11_kraken2_bracken_species.report,Q62-25PVC-2-11_kraken2_bracken_species.report,Q61-25PVC-1-11_kraken2_bracken_species.report,Q60-25PET-3-11_kraken2_bracken_species.report,Q59-25PET-2-11_kraken2_bracken_species.report,Q58-25PET-1-11_kraken2_bracken_species.report,Q57-25PE0.6-3-11_kraken2_bracken_species.report,Q56-25PE0.6-2-11_kraken2_bracken_species.report,Q55-25PE0.6-1-11_kraken2_bracken_species.report,Q54-25S-3-11_kraken2_bracken_species.report,Q53-25S-2-11_kraken2_bracken_species.report,Q52-25S-1-11_kraken2_bracken_species.report,Q51-25PVC-3-3_kraken2_bracken_species.report,Q50-25PVC-2-3_kraken2_bracken_species.report,Q49-25PVC-1-3_kraken2_bracken_species.report,Q48-25PET-3-3_kraken2_bracken_species.report,Q47-25PET-2-3_kraken2_bracken_species.report,Q46-25PET-1-3_kraken2_bracken_species.report,Q45-25PE0.6-3-3_kraken2_bracken_species.report,Q44-25PE0.6-2-3_kraken2_bracken_species.report,Q43-25PE0.6-1-3_kraken2_bracken_species.report,Q42-25S-3-3_kraken2_bracken_species.report,Q41-25S-2-3_kraken2_bracken_species.report,Q40-25S-1-3_kraken2_bracken_species.report,Q34-25PE0.1-2-11_kraken2_bracken_species.report,Q33-25PE0.1-1-11_kraken2_bracken_species.report,Q32-25PE0.1-2-3_kraken2_bracken_species.report,Q31-25PE0.1-1-3_kraken2_bracken_species.report
P,508458,        Synergistota,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,,0.0
G,508459,                Cloacibacillus,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
O,510684,            Sneathiellales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
F,510685,              Sneathiellaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
G,510690,                Sneathiella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
G,511745,                  Methylacidiphilum (ex Ratnadevi et al. 2023),,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
S,511746,                    Candidatus Methylacidiphilum infernorum,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
G1,512297,                  environmental samples,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
S,512298,                    uncultured Subdoligranulum sp.,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
S,512349,                  Actinoplanes sichuanensis,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,0.0,,,,,,,0.0,,
G,512381,                Acidisoma,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
S,512402,                  Mycolicibacter heraklionensis,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
S,512763,                      Rufibacter tibetensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
S,513223,                      Microcystis panniformis,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,515350,                  Micromonospora endophytica,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,
S,515361,                    Neorhizobium petrolearium,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.01,0.01,0.01,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,0.0,,,,0.0
S,515393,                  Pseudomonas yamanorum,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,
S,515415,                  Microbacterium invictum,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0
G,515417,                Amphritea,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0
S,516051,                      Flagellimonas lutaonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
S,516702,                  Pigmentiphaga litoralis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
S,517719,                  Pseudooceanicola nitratireducens,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
S,518693,                    Exiguobacterium arabatum,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
G,518733,                Microterricola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,518753,                  Luteolibacter,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.05,0.05,0.05,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.05,0.03
G,518755,                  Roseibacillus,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0
S,519081,                  Aquitalea denitrificans,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,
S,520734,                    Sphingobium sp. RSMS,0.05,0.02,0.04,0.06,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.02,0.02,0.03,0.04,0.07,0.05,0.07,0.08,0.08,0.05,0.07,0.05,0.09,0.07,0.07,0.04,0.03,0.05,0.07,0.09,0.07,0.06,0.06,0.1,0.07,0.06,0.06,0.08,0.07,0.08,0.05
S,521392,                  Helcobacillus massiliensis,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,521689,                  Thiocapsa bogorovii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,521720,                  Denitrificimonas caeni,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
S,522259,                  Dyella terrae,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
S,524884,                  Saccharopolyspora rosea,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,
S,525917,                  Thiothrix lacustris,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
G,526215,                Thalassobaculum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,526524,          Erysipelotrichia,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.01,0.03,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
O,526525,            Erysipelotrichales,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.01,0.03,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
G,527198,                    Mariniflexile,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
S,528244,                  Azospirillum thiophilum,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0
S,528343,                    Pseudomonas sp. G11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
G,529881,                    Aquiluna,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,529883,                    Rhodoluna,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.0
S,529884,                      Rhodoluna lacicola,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.0
S,530584,                  Prauserella marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
S,531813,                  Pelagibacterium halotolerans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,533205,          Holophagae,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0
O,533206,            Acanthopleuribacterales,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,533207,              Acanthopleuribacteraceae,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,536018,                  Mesorhizobium australicum,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,0.0
S,536441,                        Chryseobacterium taklimakanense,0.01,0.01,0.01,0.01,0.01,0.0,0.0,,0.0,0.0,0.0,0.01,,,,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.01,0.0,0.01,0.0
S,536979,                      Chitinophaga niabensis,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,537596,                    Aminobacter sp. BA135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,538381,                  Stappia indica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.01,,0.02,,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,
S,538382,                  Pelagerythrobacter marinus,0.1,0.08,0.09,0.04,0.04,0.05,0.05,0.08,0.1,0.09,0.07,0.07,0.01,0.01,0.01,0.09,0.09,0.09,0.09,0.08,0.09,0.11,0.12,0.09,0.1,0.1,0.09,0.04,0.04,0.04,0.08,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.09,0.09,0.11,0.08
G1,538948,                      environmental samples,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,
S,538949,                        uncultured Alistipes sp.,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,
S,538966,                        Dyadobacter sp. 32,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,538999,              Eubacteriales incertae sedis,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,0.0
F,539000,                Clostridiales Family XVII. Incertae Sedis,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,0.0,,
O1,539002,              Bacillales incertae sedis,0.76,0.69,0.67,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.04,0.05,1.22,0.92,0.68,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,2.66,1.46,0.1,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.03,0.02,0.05,0.03
F,539003,                Bacillales Family X. Incertae Sedis,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,
O2,539742,                Bacillales Family XII. Incertae Sedis,0.76,0.69,0.67,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.05,1.22,0.92,0.68,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,2.66,1.46,0.1,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.03,0.02,0.05,0.03
S,540747,                  Roseovarius indicus,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
F,543314,              Anaerovoracaceae,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,543349,              Symbiobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,543372,              Thermoanaerobacterales Family IV. Incertae Sedis,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,543877,                  Pelagerythrobacter marensis,0.04,0.04,0.03,0.02,0.03,0.03,0.06,0.06,0.07,0.09,0.09,0.08,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.05,0.01,0.0,0.01,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02
P,544448,        Mycoplasmatota,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,
S,544580,                  Actinomyces oris,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,544645,                      Butyricimonas virosa,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,
S,545619,                  Paraoerskovia marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
G,545865,                Calditerrivibrio,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
S,546114,                  Castellaniella ginsengisoli,,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0
S,546160,                  Dietzia lutea,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
S,546871,                  Friedmanniella luteola,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,546874,                  Microlunatus sagamiharensis,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
S,547188,                    Phycisphaera mikurensis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
S,548579,                  Isoptericola jiangsuensis,,0.02,,0.03,0.03,0.03,0.05,,,,0.14,0.09,0.19,0.41,0.24,0.01,,0.01,0.03,,,0.02,,,,,,0.01,0.01,0.01,0.05,0.01,0.02,,0.02,,,0.04,,0.02,,,0.03
O,548681,            Herpesvirales,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0
G,548687,                  Macavirus,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0
S,549687,                  Cytobacillus horneckiae,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,549779,              Mimiviridae,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,,
G,551759,                Aromatoleum,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.42,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
S,551760,                  Aromatoleum aromaticum,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
S,553151,                  Halopseudomonas pelagia,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,
S,553239,                  Vibrio breoganii,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0
S,553510,                  Streptomyces gilvosporeus,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
S,553611,                  Photobacterium leiognathi,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
S,553814,                  Acidovorax carolinensis,0.35,0.54,0.43,0.12,0.19,0.15,0.32,0.26,0.23,0.32,0.38,0.39,0.68,0.68,0.76,0.32,0.36,0.36,0.13,0.11,0.08,0.13,0.13,0.14,0.15,0.18,0.11,0.32,0.34,0.53,0.21,0.13,0.17,0.21,0.24,0.19,0.22,0.24,0.26,0.11,0.13,0.15,0.23
S,553981,                  Candidatus Nitrosacidococcus tergens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
S,553982,                  Allochromatium tepidum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,554344,                  Ectopseudomonas toyotomiensis,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,
S,554949,                    Thermaerobacter composti,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,555315,                    Ensifer canadensis,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.04,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.07,0.07,0.06,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01
S,555316,                    Phyllobacterium sp. T1018,,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0
S,555317,                    Phyllobacterium sp. T1293,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,
S,556054,                  Polynucleobacter difficilis,,,,,,,,,,,,,0.01,0.01,0.01,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,,,0.0,,,,
G,556178,                Humibacillus,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.02,0.03,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01
G,556257,                Pseudolabrys,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01
S,556288,                  Brachybacterium saurashtrense,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
S,556325,                  Neomicrococcus aestuarii,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
S,556499,                  Propionibacterium acidifaciens,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,
S,556533,                  Pseudomonas benzenivorans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
G,558016,            Alphabaculovirus,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
S,558152,                        Chryseobacterium piperi,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
F,558415,                  Marinilabiliaceae,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,558436,                    Xylanibacter,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0
S,558537,                  Delftia lacustris,0.6,0.63,1.03,0.59,0.72,0.72,1.46,1.49,1.1,1.5,1.59,1.51,3.68,3.31,4.02,0.28,0.28,0.36,0.45,0.4,0.3,0.53,0.54,0.48,0.54,0.61,0.49,0.05,0.07,0.12,0.99,0.64,0.75,0.74,0.89,0.74,0.82,0.96,1.08,0.41,0.49,0.47,0.75
S,560555,                    Mycobacterium mantenii,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,
S,561061,                      Sphingobacterium psychroaquaticum,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,
S,561184,                  Mameliella alba,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01
G,561367,                    Salinimicrobium,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
