taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_classes.report,W133-25PVC-2-17_kraken2_bracken_classes.report,W132-25PVC-1-17_kraken2_bracken_classes.report,W131-25PET-3-17_kraken2_bracken_classes.report,W130-25PET-2-17_kraken2_bracken_classes.report,W129-25PET-1-17_kraken2_bracken_classes.report,W128-25PE0.6-3-17_kraken2_bracken_classes.report,W127-25PE0.6-2-17_kraken2_bracken_classes.report,W126-25PE0.6-1-17_kraken2_bracken_classes.report,W125-25S-3-17_kraken2_bracken_classes.report,W124-25S-2-17_kraken2_bracken_classes.report,W123-25S-1-17_kraken2_bracken_classes.report,Q66-25S-3-0_kraken2_bracken_classes.report,Q65-25S-2-0_kraken2_bracken_classes.report,Q64-25S-1-0_kraken2_bracken_classes.report,Q63-25PVC-3-11_kraken2_bracken_classes.report,Q62-25PVC-2-11_kraken2_bracken_classes.report,Q61-25PVC-1-11_kraken2_bracken_classes.report,Q60-25PET-3-11_kraken2_bracken_classes.report,Q59-25PET-2-11_kraken2_bracken_classes.report,Q58-25PET-1-11_kraken2_bracken_classes.report,Q57-25PE0.6-3-11_kraken2_bracken_classes.report,Q56-25PE0.6-2-11_kraken2_bracken_classes.report,Q55-25PE0.6-1-11_kraken2_bracken_classes.report,Q54-25S-3-11_kraken2_bracken_classes.report,Q53-25S-2-11_kraken2_bracken_classes.report,Q52-25S-1-11_kraken2_bracken_classes.report,Q51-25PVC-3-3_kraken2_bracken_classes.report,Q50-25PVC-2-3_kraken2_bracken_classes.report,Q49-25PVC-1-3_kraken2_bracken_classes.report,Q48-25PET-3-3_kraken2_bracken_classes.report,Q47-25PET-2-3_kraken2_bracken_classes.report,Q46-25PET-1-3_kraken2_bracken_classes.report,Q45-25PE0.6-3-3_kraken2_bracken_classes.report,Q44-25PE0.6-2-3_kraken2_bracken_classes.report,Q43-25PE0.6-1-3_kraken2_bracken_classes.report,Q42-25S-3-3_kraken2_bracken_classes.report,Q41-25S-2-3_kraken2_bracken_classes.report,Q40-25S-1-3_kraken2_bracken_classes.report,Q34-25PE0.1-2-11_kraken2_bracken_classes.report,Q33-25PE0.1-1-11_kraken2_bracken_classes.report,Q32-25PE0.1-2-3_kraken2_bracken_classes.report,Q31-25PE0.1-1-3_kraken2_bracken_classes.report
C,183963,            Halobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,183967,          Thermoplasmata,,,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,,,0.0
C,183968,          Thermococci,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,
C,186801,          Clostridia,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.05,0.03,0.04,0.11,0.07,0.09,0.0,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.04,0.01
C,187857,          Aquificia,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
C,188708,          Thermotogae,0.0,,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0
C,188787,          Deinococci,0.21,0.25,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.03,0.12,0.12,0.12,0.02,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.12,0.11,0.13,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.04
C,189775,          Thermomicrobia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,191410,              Chlorobiia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,200643,              Bacteroidia,0.03,0.03,0.03,0.08,0.13,0.12,0.1,0.02,0.03,0.05,0.02,0.03,0.05,0.02,0.02,0.0,0.01,0.0,0.02,0.04,0.04,0.03,0.01,0.02,0.03,0.06,0.03,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.01,0.0
P,200783,        Aquificota,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
P,200795,        Chloroflexota,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01
P,200918,        Thermotogota,0.0,,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0
P,200930,        Deferribacterota,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,0.0,
P,200938,        Chrysiogenota,,,,,,,,,,,0.01,,0.01,0.01,0.01,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,
P,200940,        Thermodesulfobacteriota,0.01,0.02,0.02,0.04,0.07,0.08,0.1,0.07,0.06,0.07,0.1,0.09,0.33,0.39,0.34,0.0,0.0,0.01,0.03,0.02,0.01,0.03,0.03,0.02,0.03,0.04,0.02,0.01,0.01,0.02,0.03,0.02,0.04,0.04,0.05,0.05,0.06,0.06,0.08,0.02,0.03,0.02,0.05
P,201174,        Actinomycetota,7.45,8.94,9.49,6.16,5.46,5.44,7.09,6.0,4.42,6.34,6.72,6.94,12.56,12.37,11.41,7.24,5.96,7.77,4.91,3.92,2.88,3.55,3.18,2.63,3.85,3.79,3.59,13.92,13.1,14.25,6.03,4.09,4.41,4.76,4.44,4.61,5.19,5.06,5.09,4.18,4.53,5.54,6.32
C,203486,          Dictyoglomia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
C,203490,          Fusobacteriia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
C,203494,            Verrucomicrobiia,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.09,0.08,0.08,0.02,0.02,0.03,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.07,0.09,0.09,0.07,0.07,0.06,0.06,0.07,0.06,0.02,0.02,0.06,0.05
P,203682,          Planctomycetota,0.21,0.26,0.27,0.16,0.2,0.2,0.21,0.21,0.18,0.26,0.28,0.27,0.49,0.49,0.48,0.11,0.11,0.11,0.12,0.15,0.11,0.13,0.13,0.11,0.17,0.18,0.16,0.09,0.08,0.11,0.13,0.11,0.13,0.14,0.14,0.13,0.17,0.17,0.18,0.15,0.15,0.12,0.14
C,203683,            Planctomycetia,0.21,0.26,0.27,0.16,0.2,0.2,0.21,0.21,0.17,0.26,0.27,0.27,0.48,0.48,0.47,0.11,0.11,0.11,0.12,0.15,0.11,0.13,0.13,0.11,0.17,0.18,0.16,0.09,0.08,0.11,0.12,0.11,0.13,0.13,0.14,0.13,0.17,0.17,0.18,0.15,0.15,0.12,0.14
P,203691,        Spirochaetota,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01
C,203692,          Spirochaetia,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01
C,203693,          Nitrospiria,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.03,0.05,0.05,0.05,0.08,0.09,0.09,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.04,0.04,0.02,0.02,0.02,0.04
P,204428,          Chlamydiota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,204429,            Chlamydiia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,204432,          Terriglobia,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
C,219685,            Gemmatimonadia,0.03,0.05,0.05,0.08,0.11,0.11,0.16,0.14,0.09,0.15,0.17,0.17,0.15,0.15,0.15,0.01,0.01,0.01,0.04,0.04,0.03,0.05,0.05,0.04,0.05,0.06,0.04,0.01,0.01,0.02,0.05,0.03,0.05,0.05,0.06,0.05,0.07,0.07,0.08,0.04,0.05,0.03,0.06
C,224756,            Methanomicrobia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,256845,          Lentisphaerota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
C,292625,          Anaerolineae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,301297,          Dehalococcoidia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,388447,          Ktedonobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,414999,            Opitutia,0.01,0.02,0.03,0.02,0.04,0.03,0.04,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.02
C,447830,          Endomicrobiia,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,
P,456828,          Candidatus Cloacimonadota,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
C,475962,          Caldilineae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,508458,        Synergistota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,526524,          Erysipelotrichia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,533205,          Holophagae,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0
P,544448,        Mycoplasmatota,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,
C,580370,          Candidatius Mariprofundia,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,
C,641853,          Elusimicrobia,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
C,649775,          Synergistia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,651137,        Nitrososphaerota,0.05,0.08,0.08,0.11,0.18,0.16,0.15,0.14,0.1,0.14,0.17,0.16,0.12,0.13,0.14,0.01,0.01,0.01,0.03,0.04,0.02,0.04,0.03,0.02,0.04,0.05,0.03,0.01,0.01,0.02,0.04,0.01,0.03,0.03,0.04,0.02,0.04,0.04,0.04,0.03,0.05,0.02,0.04
C,666505,            Phycisphaerae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,768503,              Cytophagia,0.16,0.15,0.21,0.27,0.53,0.5,0.18,0.21,0.27,0.35,0.32,0.31,0.07,0.08,0.07,0.05,0.08,0.07,0.14,0.43,0.4,0.23,0.18,0.28,0.29,0.27,0.26,0.02,0.03,0.03,0.09,0.1,0.11,0.11,0.14,0.14,0.14,0.13,0.14,0.26,0.18,0.1,0.09
C,795747,              Ignavibacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,908620,          Nitriliruptoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,909932,          Negativicutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1042312,          Armatimonadia,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0
C,1077257,          Chthonomonadia,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0
P,1134404,            Ignavibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,1154676,        Vulcanimicrobiota,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,1293497,          Nitrospinota,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,,
C,1293498,            Nitrospinia,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,,
C,1313211,            Lentisphaeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
P7,1338369,                              Dipnotetrapodomorpha,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
C,1382928,          Ardenticatenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1495646,          Thermoflexia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
C,1497346,          Thermoleophilia,0.06,0.08,0.08,0.11,0.12,0.13,0.19,0.16,0.14,0.21,0.22,0.24,0.68,0.67,0.67,0.04,0.03,0.04,0.08,0.08,0.07,0.11,0.1,0.08,0.13,0.14,0.14,0.07,0.06,0.08,0.12,0.08,0.12,0.16,0.16,0.17,0.23,0.21,0.23,0.11,0.12,0.1,0.16
C,1553900,          Oligoflexia,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
C,1643678,          Nitrososphaeria,0.05,0.08,0.08,0.11,0.18,0.16,0.15,0.14,0.1,0.14,0.17,0.16,0.12,0.13,0.14,0.01,0.01,0.01,0.03,0.04,0.02,0.04,0.03,0.02,0.04,0.05,0.03,0.01,0.01,0.02,0.04,0.01,0.03,0.03,0.04,0.02,0.04,0.04,0.04,0.03,0.05,0.02,0.04
C,1663419,          Fimbriimonadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1676648,          Limnochordia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
C,1737404,          Tissierellia,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
P,1752724,              Minisyncoccota,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4,1783234,        Bacteria candidate phyla,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0
K1,1783257,        PVC group,0.24,0.32,0.31,0.22,0.27,0.27,0.3,0.26,0.22,0.33,0.35,0.34,0.69,0.69,0.67,0.13,0.13,0.14,0.18,0.2,0.16,0.17,0.17,0.14,0.22,0.24,0.2,0.13,0.12,0.16,0.23,0.21,0.25,0.22,0.24,0.23,0.27,0.27,0.28,0.19,0.19,0.2,0.22
K1,1783270,        FCB group,1.7,1.96,2.26,2.6,2.9,2.77,1.59,1.71,2.37,2.63,2.31,2.36,3.31,3.11,2.9,1.4,1.85,1.73,2.62,3.02,3.36,1.57,1.56,1.92,1.57,1.61,1.86,10.56,12.31,10.93,7.12,5.87,4.29,3.07,2.95,2.34,2.03,2.05,1.94,1.53,1.44,4.78,4.05
K,1783272,      Bacillati,8.43,9.86,10.44,6.5,5.85,5.83,7.65,6.5,4.95,7.42,7.58,7.91,15.65,15.11,14.29,8.6,7.03,8.57,5.24,4.26,3.19,3.87,3.52,2.93,4.33,4.4,4.03,17.07,15.92,15.88,6.46,4.34,4.77,5.1,4.81,5.07,5.66,5.54,5.59,4.57,4.94,5.89,6.7
R5,1783273,          Patescibacteria group,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,1783275,      Thermoproteati,0.05,0.08,0.08,0.11,0.18,0.16,0.15,0.14,0.1,0.14,0.17,0.16,0.12,0.13,0.14,0.01,0.01,0.01,0.03,0.04,0.02,0.04,0.03,0.02,0.04,0.05,0.03,0.01,0.01,0.02,0.04,0.01,0.03,0.03,0.04,0.02,0.04,0.04,0.04,0.03,0.05,0.02,0.04
R6,1794810,            Microgenomates group,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1,1798711,        Cyanobacteriota/Melainabacteria group,0.09,0.08,0.12,0.15,0.2,0.2,0.16,0.19,0.21,0.31,0.28,0.28,0.64,0.67,0.67,0.06,0.06,0.06,0.13,0.14,0.14,0.14,0.14,0.14,0.19,0.19,0.18,0.06,0.06,0.08,0.12,0.11,0.14,0.15,0.16,0.15,0.19,0.19,0.2,0.13,0.13,0.12,0.14
K1,1802340,        Nitrospinota/Tectimicrobiota group,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,,
C,1804991,            Longimicrobiia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1807140,          Acidithiobacillia,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
C,1813735,          Vicinamibacteria,0.24,0.25,0.27,0.23,0.23,0.23,0.29,0.26,0.24,0.37,0.37,0.37,0.29,0.29,0.28,0.15,0.18,0.2,0.16,0.22,0.19,0.2,0.21,0.19,0.25,0.25,0.26,0.05,0.04,0.06,0.12,0.09,0.11,0.14,0.13,0.15,0.19,0.19,0.19,0.27,0.27,0.11,0.16
P,1853220,            Rhodothermota,0.05,0.05,0.03,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1853221,              Balneolia,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
C,1853222,              Rhodothermia,0.05,0.05,0.03,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1853228,              Chitinophagia,0.15,0.17,0.21,0.65,0.63,0.61,0.37,0.42,0.46,0.53,0.46,0.5,0.13,0.14,0.13,0.12,0.15,0.14,0.69,0.99,1.1,0.5,0.5,0.55,0.57,0.51,0.46,0.05,0.07,0.07,0.45,0.63,0.65,0.49,0.57,0.54,0.52,0.51,0.52,0.42,0.37,0.41,0.31
