taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_families.report,W133-25PVC-2-17_kraken2_bracken_families.report,W132-25PVC-1-17_kraken2_bracken_families.report,W131-25PET-3-17_kraken2_bracken_families.report,W130-25PET-2-17_kraken2_bracken_families.report,W129-25PET-1-17_kraken2_bracken_families.report,W128-25PE0.6-3-17_kraken2_bracken_families.report,W127-25PE0.6-2-17_kraken2_bracken_families.report,W126-25PE0.6-1-17_kraken2_bracken_families.report,W125-25S-3-17_kraken2_bracken_families.report,W124-25S-2-17_kraken2_bracken_families.report,W123-25S-1-17_kraken2_bracken_families.report,Q66-25S-3-0_kraken2_bracken_families.report,Q65-25S-2-0_kraken2_bracken_families.report,Q64-25S-1-0_kraken2_bracken_families.report,Q63-25PVC-3-11_kraken2_bracken_families.report,Q62-25PVC-2-11_kraken2_bracken_families.report,Q61-25PVC-1-11_kraken2_bracken_families.report,Q60-25PET-3-11_kraken2_bracken_families.report,Q59-25PET-2-11_kraken2_bracken_families.report,Q58-25PET-1-11_kraken2_bracken_families.report,Q57-25PE0.6-3-11_kraken2_bracken_families.report,Q56-25PE0.6-2-11_kraken2_bracken_families.report,Q55-25PE0.6-1-11_kraken2_bracken_families.report,Q54-25S-3-11_kraken2_bracken_families.report,Q53-25S-2-11_kraken2_bracken_families.report,Q52-25S-1-11_kraken2_bracken_families.report,Q51-25PVC-3-3_kraken2_bracken_families.report,Q50-25PVC-2-3_kraken2_bracken_families.report,Q49-25PVC-1-3_kraken2_bracken_families.report,Q48-25PET-3-3_kraken2_bracken_families.report,Q47-25PET-2-3_kraken2_bracken_families.report,Q46-25PET-1-3_kraken2_bracken_families.report,Q45-25PE0.6-3-3_kraken2_bracken_families.report,Q44-25PE0.6-2-3_kraken2_bracken_families.report,Q43-25PE0.6-1-3_kraken2_bracken_families.report,Q42-25S-3-3_kraken2_bracken_families.report,Q41-25S-2-3_kraken2_bracken_families.report,Q40-25S-1-3_kraken2_bracken_families.report,Q34-25PE0.1-2-11_kraken2_bracken_families.report,Q33-25PE0.1-1-11_kraken2_bracken_families.report,Q32-25PE0.1-2-3_kraken2_bracken_families.report,Q31-25PE0.1-1-3_kraken2_bracken_families.report
O,118964,            Deinococcales,0.21,0.25,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.03,0.13,0.12,0.12,0.02,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.13,0.11,0.13,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04
F,118968,              Coxiellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,118969,            Legionellales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,119045,              Methylobacteriaceae,0.02,0.04,0.03,0.01,0.03,0.04,0.03,0.03,0.02,0.07,0.08,0.09,0.12,0.13,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.02
F,119060,              Burkholderiaceae,0.65,1.43,1.27,0.92,1.73,1.81,2.76,1.84,0.85,1.87,2.55,2.73,3.2,3.04,3.3,0.21,0.14,0.3,0.68,0.56,0.31,0.67,0.54,0.28,0.86,1.22,0.91,1.02,1.26,1.41,1.48,0.49,0.85,1.07,1.03,0.99,1.87,1.77,1.94,0.58,0.93,0.37,1.88
C1,119066,            Betaproteobacteria incertae sedis,0.01,0.02,0.02,0.08,0.11,0.1,0.19,0.15,0.12,0.22,0.25,0.25,0.1,0.1,0.08,0.0,0.0,0.0,0.06,0.06,0.04,0.07,0.07,0.06,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.06,0.07,0.08,0.09,0.08,0.11,0.12,0.13,0.06,0.08,0.05,0.09
O,119069,            Hydrogenophilales,,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,
F,119859,                Tolypothrichaceae,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,,,,,
F,125316,              Beutenbergiaceae,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0
F,128827,              Erysipelotrichaceae,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,0.0,
R1,131567,  cellular organisms,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
O,134621,              Limisphaerales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,134623,                Opitutaceae,0.01,0.02,0.03,0.02,0.04,0.03,0.04,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.02
P,134625,          Kiritimatiellota,,0.01,,0.01,,0.01,0.02,0.02,,0.02,,,0.05,0.06,0.05,,,,0.0,,0.01,0.01,0.01,,,,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.02,0.02,0.01,,0.01,0.01
O,135613,            Chromatiales,0.01,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.03,0.05,0.06,0.06,0.09,0.08,0.09,0.0,0.0,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.01,0.02,0.02,0.03
O,135614,            Lysobacterales,8.67,8.12,5.59,8.59,6.08,6.09,3.74,2.58,2.5,2.05,2.16,1.99,1.45,1.45,1.42,20.55,16.22,15.87,9.07,10.6,9.28,6.54,6.25,5.67,4.87,4.76,5.14,17.35,15.98,12.48,7.87,8.5,7.33,7.48,6.48,6.69,5.22,5.34,4.91,6.48,6.6,7.78,7.19
O,135615,            Cardiobacteriales,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,
F,135616,              Piscirickettsiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,135617,              Thiotrichaceae,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,135618,            Methylococcales,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.05,0.04,0.24,0.24,0.26,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.02,0.01,0.02,0.04
O,135619,            Oceanospirillales,0.0,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.03,0.03,0.02,0.05,0.05,0.04,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
F,135620,              Oceanospirillaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,135621,              Pseudomonadaceae,0.7,1.0,0.82,0.52,1.08,0.74,1.13,1.4,0.78,1.24,1.58,1.96,2.66,6.05,2.76,0.35,0.3,0.34,0.38,0.42,0.42,0.67,0.76,0.95,0.36,0.43,0.54,1.37,1.28,1.77,0.62,0.34,0.46,0.77,0.8,0.42,0.95,0.51,1.14,0.41,0.48,0.52,1.11
O,135622,            Alteromonadales,0.13,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.87,0.02,0.0,0.01,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
O,135623,            Vibrionales,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.0,0.01,0.01,0.01,0.01,0.01,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,135624,            Aeromonadales,0.02,0.04,0.02,0.07,0.04,0.08,0.16,0.08,0.01,0.16,0.06,0.02,0.12,0.14,0.28,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.03,0.1,0.01,0.03,0.01,0.05,0.06,0.05,0.11,0.06,0.02,0.02,0.06,0.05,0.08,0.02,0.07,0.03,0.01,0.02,0.03
O,135625,            Pasteurellales,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,142182,          Gemmatimonadota,0.03,0.05,0.05,0.08,0.11,0.11,0.16,0.14,0.09,0.15,0.17,0.17,0.15,0.15,0.16,0.01,0.01,0.01,0.04,0.04,0.03,0.05,0.05,0.04,0.05,0.06,0.04,0.01,0.01,0.02,0.05,0.03,0.05,0.05,0.06,0.05,0.07,0.07,0.08,0.04,0.05,0.03,0.06
F,143067,                Methanotrichaceae,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,143786,              Brachyspiraceae,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
F,145357,              Dermacoccaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,145358,              Bogoriellaceae,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
F,145360,              Sanguibacteraceae,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
F,151341,              Polyomaviridae,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
O,171549,                Bacteroidales,0.03,0.03,0.03,0.07,0.13,0.12,0.1,0.02,0.03,0.05,0.02,0.03,0.05,0.02,0.02,0.0,0.0,0.0,0.02,0.03,0.03,0.02,0.01,0.02,0.03,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.03,0.01,0.0
F,171550,                  Rikenellaceae,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
F,171551,                  Porphyromonadaceae,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0
F,171552,                  Prevotellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,183710,              Deinococcaceae,0.21,0.25,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.03,0.13,0.12,0.12,0.02,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.13,0.11,0.13,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04
C,183925,            Methanobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,183963,            Halobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,183967,          Thermoplasmata,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0
C,183968,          Thermococci,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,
C,186801,          Clostridia,0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.04,0.03,0.04,0.11,0.07,0.09,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.04,0.01
O,186802,            Eubacteriales,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.02,0.06,0.02,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01
F,186803,              Lachnospiraceae,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
F,186804,              Peptostreptococcaceae,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,186806,              Eubacteriaceae,,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,,,,
F,186807,              Peptococcaceae,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
F,186814,              Thermoanaerobacteraceae,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,
F,186817,              Bacillaceae,0.05,0.07,0.08,0.06,0.08,0.07,0.1,0.07,0.07,0.27,0.18,0.18,0.49,0.5,0.37,0.03,0.03,0.02,0.04,0.09,0.05,0.05,0.06,0.05,0.07,0.13,0.09,0.03,0.03,0.02,0.03,0.03,0.08,0.03,0.08,0.11,0.05,0.07,0.05,0.09,0.12,0.06,0.04
F,186818,              Caryophanaceae,0.05,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.02,0.1,0.11,0.1,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.06,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01
F,186820,              Listeriaceae,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,,
F,186822,              Paenibacillaceae,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.13,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
F,186823,              Alicyclobacillaceae,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,186824,              Thermoactinomycetaceae,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,186826,            Lactobacillales,0.02,0.03,0.03,0.04,0.05,0.05,0.24,0.0,0.01,0.02,0.01,0.01,0.4,0.11,0.04,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.09,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.03,0.01,0.01,0.01,0.0,0.01,0.01
F,186827,              Aerococcaceae,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,0.01,,,,,
F,186828,              Carnobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.06,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,187857,          Aquificia,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,
C,188708,          Thermotogae,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
O,188710,            Thermodesulfobacteriales,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,
F,188711,              Thermodesulfobacteriaceae,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,
F,188786,              Thermaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,188787,          Deinococci,0.22,0.25,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.03,0.13,0.12,0.12,0.02,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.13,0.11,0.13,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.04
O,189769,            Chrysiogenales,,,,,,,,,,,0.01,,0.01,0.01,0.01,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,
F,189770,              Chrysiogenaceae,,,,,,,,,,,0.01,,0.01,0.01,0.01,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,
C,189775,          Thermomicrobia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,189776,            Thermomicrobiales,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,
F,189777,              Thermomicrobiaceae,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,
O,189778,            Nitrospirales,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.03,0.05,0.05,0.05,0.08,0.09,0.09,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.04,0.04,0.02,0.02,0.02,0.04
F,189779,              Nitrospiraceae,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.03,0.05,0.05,0.05,0.08,0.09,0.09,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.04,0.04,0.02,0.02,0.02,0.04
F,191033,              Oleiphilaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
O,191393,            Deferribacterales,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
C,191410,              Chlorobiia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,191411,                Chlorobiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,191412,                  Chlorobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,194924,              Desulfovibrionaceae,0.0,0.0,0.0,0.01,0.0,0.02,0.03,0.02,0.0,0.01,0.01,0.01,0.07,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01
C,200643,              Bacteroidia,0.03,0.03,0.03,0.08,0.13,0.12,0.1,0.02,0.03,0.05,0.02,0.03,0.05,0.02,0.02,0.0,0.01,0.0,0.02,0.04,0.04,0.03,0.01,0.02,0.03,0.06,0.03,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.01,0.0
O,200644,                Flavobacteriales,1.22,1.44,1.66,1.42,1.37,1.28,0.68,0.73,1.37,1.19,1.04,1.07,2.86,2.66,2.48,1.18,1.55,1.48,1.67,1.39,1.65,0.66,0.45,0.93,0.53,0.58,0.94,10.67,12.4,10.78,6.5,5.08,3.43,2.37,2.12,1.57,1.23,1.26,1.12,0.71,0.72,4.19,3.55
O,200666,                Sphingobacteriales,0.05,0.06,0.06,0.08,0.1,0.13,0.08,0.16,0.12,0.32,0.27,0.24,0.02,0.03,0.02,0.04,0.06,0.03,0.04,0.11,0.13,0.08,0.37,0.08,0.08,0.12,0.12,0.04,0.04,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.04,0.07,0.06,0.02,0.02
F,200667,                  Flammeovirgaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
