taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_species.report,W133-25PVC-2-17_kraken2_bracken_species.report,W132-25PVC-1-17_kraken2_bracken_species.report,W131-25PET-3-17_kraken2_bracken_species.report,W130-25PET-2-17_kraken2_bracken_species.report,W129-25PET-1-17_kraken2_bracken_species.report,W128-25PE0.6-3-17_kraken2_bracken_species.report,W127-25PE0.6-2-17_kraken2_bracken_species.report,W126-25PE0.6-1-17_kraken2_bracken_species.report,W125-25S-3-17_kraken2_bracken_species.report,W124-25S-2-17_kraken2_bracken_species.report,W123-25S-1-17_kraken2_bracken_species.report,Q66-25S-3-0_kraken2_bracken_species.report,Q65-25S-2-0_kraken2_bracken_species.report,Q64-25S-1-0_kraken2_bracken_species.report,Q63-25PVC-3-11_kraken2_bracken_species.report,Q62-25PVC-2-11_kraken2_bracken_species.report,Q61-25PVC-1-11_kraken2_bracken_species.report,Q60-25PET-3-11_kraken2_bracken_species.report,Q59-25PET-2-11_kraken2_bracken_species.report,Q58-25PET-1-11_kraken2_bracken_species.report,Q57-25PE0.6-3-11_kraken2_bracken_species.report,Q56-25PE0.6-2-11_kraken2_bracken_species.report,Q55-25PE0.6-1-11_kraken2_bracken_species.report,Q54-25S-3-11_kraken2_bracken_species.report,Q53-25S-2-11_kraken2_bracken_species.report,Q52-25S-1-11_kraken2_bracken_species.report,Q51-25PVC-3-3_kraken2_bracken_species.report,Q50-25PVC-2-3_kraken2_bracken_species.report,Q49-25PVC-1-3_kraken2_bracken_species.report,Q48-25PET-3-3_kraken2_bracken_species.report,Q47-25PET-2-3_kraken2_bracken_species.report,Q46-25PET-1-3_kraken2_bracken_species.report,Q45-25PE0.6-3-3_kraken2_bracken_species.report,Q44-25PE0.6-2-3_kraken2_bracken_species.report,Q43-25PE0.6-1-3_kraken2_bracken_species.report,Q42-25S-3-3_kraken2_bracken_species.report,Q41-25S-2-3_kraken2_bracken_species.report,Q40-25S-1-3_kraken2_bracken_species.report,Q34-25PE0.1-2-11_kraken2_bracken_species.report,Q33-25PE0.1-1-11_kraken2_bracken_species.report,Q32-25PE0.1-2-3_kraken2_bracken_species.report,Q31-25PE0.1-1-3_kraken2_bracken_species.report
S,169435,                  Anaerotruncus colihominis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,17.0,58.0
S,169480,                  Rothia amarae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,
S,169679,                  Clostridium saccharobutylicum,,8.0,,5.0,,,,,,,11.0,,,12.0,,2.0,11.0,3.0,5.0,,4.0,7.0,,,,8.0,,3.0,,3.0,8.0,7.0,,12.0,,,,,5.0,,4.0,8.0,5.0
S,169760,                  Paenibacillus stellifer,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,169765,                  Mycobacterium lacus,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,
S,170573,                  Staphylococcus pettenkoferi,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,170610,                  Halomicronema,,,,,,,4.0,,,,,,13.0,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,3.0,
S,170679,                  Vibrio chagasii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
S,170861,                    Methanosarcina lacustris,9.0,12.0,3.0,,11.0,4.0,10.0,15.0,19.0,5.0,8.0,4.0,18.0,6.0,28.0,20.0,15.0,14.0,21.0,23.0,25.0,17.0,39.0,8.0,25.0,33.0,16.0,15.0,26.0,14.0,32.0,30.0,16.0,14.0,21.0,33.0,7.0,25.0,28.0,22.0,11.0,17.0,28.0
G,171163,                  Halosimplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,
S,171404,                  Paenibacillus agaridevorans,,,,,,31.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,171436,                Tistrella,1069.0,1056.0,1315.0,677.0,670.0,729.0,1788.0,1347.0,1538.0,1657.0,1578.0,1317.0,3605.0,874.0,1802.0,810.0,1031.0,732.0,645.0,484.0,436.0,1170.0,852.0,998.0,940.0,1124.0,1006.0,554.0,418.0,545.0,611.0,473.0,595.0,778.0,808.0,698.0,970.0,762.0,524.0,861.0,1039.0,614.0,676.0
S,171437,                  Tistrella mobilis,919.0,887.0,785.0,346.0,379.0,457.0,1377.0,1023.0,1305.0,984.0,1274.0,880.0,2093.0,361.0,658.0,759.0,968.0,695.0,498.0,408.0,355.0,923.0,745.0,944.0,773.0,972.0,849.0,440.0,318.0,429.0,419.0,409.0,302.0,455.0,550.0,543.0,625.0,524.0,329.0,807.0,868.0,529.0,522.0
O,171549,                Bacteroidales,1345.0,1362.0,1602.0,3638.0,5715.0,5392.0,5546.0,810.0,1142.0,1645.0,204.0,700.0,2022.0,320.0,482.0,119.0,348.0,134.0,987.0,818.0,1441.0,583.0,228.0,775.0,991.0,2084.0,950.0,57.0,58.0,66.0,155.0,196.0,163.0,102.0,859.0,286.0,370.0,335.0,1091.0,896.0,766.0,996.0,234.0
F,171550,                  Rikenellaceae,87.0,44.0,189.0,73.0,286.0,60.0,435.0,17.0,158.0,31.0,16.0,138.0,247.0,156.0,278.0,47.0,72.0,75.0,439.0,5.0,417.0,3.0,70.0,474.0,356.0,834.0,335.0,38.0,53.0,22.0,114.0,10.0,8.0,10.0,325.0,83.0,11.0,304.0,355.0,5.0,6.0,7.0,93.0
F,171551,                  Porphyromonadaceae,18.0,,21.0,,84.0,12.0,23.0,24.0,21.0,,,25.0,,12.0,,36.0,,,12.0,16.0,,,,,130.0,,,,,,,,,,,,13.0,,13.0,,,,
F,171552,                  Prevotellaceae,31.0,99.0,26.0,7.0,,60.0,,5.0,44.0,,,82.0,37.0,52.0,37.0,17.0,,46.0,37.0,58.0,6.0,86.0,,118.0,67.0,,181.0,,,,14.0,28.0,14.0,6.0,59.0,,7.0,,4.0,,53.0,6.0,2.0
P1,171558,              Bacteroidota incertae sedis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,
S,171695,                  Thermodesulfatator indicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,
S,171865,                  Sulfuriferula plumbiphila,208.0,440.0,386.0,1084.0,1276.0,1361.0,1689.0,1256.0,1035.0,1242.0,1567.0,1420.0,1046.0,982.0,982.0,95.0,57.0,81.0,590.0,500.0,464.0,735.0,516.0,713.0,924.0,802.0,886.0,188.0,316.0,343.0,686.0,608.0,558.0,713.0,755.0,707.0,1003.0,846.0,910.0,583.0,939.0,532.0,1000.0
S,172042,                  Rothia aeria,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,172043,                  Brevundimonas nasdae,1367.0,1265.0,2134.0,222.0,727.0,531.0,1617.0,1543.0,2236.0,,273.0,1372.0,160.0,,,2804.0,2958.0,5204.0,1047.0,1272.0,1655.0,4287.0,3965.0,3441.0,1955.0,2436.0,5226.0,4053.0,5412.0,4707.0,4017.0,3763.0,3967.0,3505.0,2572.0,3302.0,3604.0,3552.0,4121.0,2873.0,1404.0,5252.0,3030.0
S,172044,                  Sphingomonas yabuuchiae,33.0,37.0,35.0,15.0,42.0,25.0,19.0,79.0,,38.0,27.0,52.0,,,,42.0,31.0,70.0,73.0,17.0,24.0,39.0,15.0,,57.0,49.0,43.0,40.0,49.0,16.0,65.0,90.0,20.0,37.0,72.0,26.0,,17.0,,15.0,16.0,44.0,68.0
S,172045,                      Elizabethkingia miricola,7.0,17.0,7.0,,,,,,,,,,,,,14.0,24.0,,,37.0,,,,,,,,,2.0,,,,,,,,,,,,,,
S,172371,                  Alloalcanivorax venustensis,,,,,,,20.0,,74.0,,,,,,24.0,,,,,,16.0,23.0,20.0,32.0,,,11.0,,,8.0,,,25.0,,16.0,,21.0,,,14.0,,,13.0
S,172713,                  Paenibacillus kribbensis,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
S,172827,                  Meiothermus taiwanensis,31.0,18.0,23.0,11.0,14.0,32.0,12.0,,24.0,25.0,,,9.0,14.0,,,,27.0,,25.0,11.0,,,12.0,17.0,19.0,7.0,20.0,,,,,29.0,,22.0,12.0,,9.0,,,25.0,,8.0
S,173366,                  Methylocystis rosea,41.0,80.0,55.0,88.0,32.0,33.0,112.0,56.0,59.0,105.0,227.0,142.0,398.0,457.0,686.0,33.0,62.0,52.0,64.0,50.0,49.0,41.0,68.0,52.0,54.0,110.0,61.0,126.0,110.0,167.0,135.0,84.0,87.0,168.0,153.0,122.0,112.0,120.0,331.0,84.0,118.0,153.0,166.0
G,173479,                  Gemmatimonas,253.0,329.0,366.0,712.0,695.0,734.0,1050.0,808.0,609.0,723.0,595.0,640.0,752.0,666.0,605.0,97.0,107.0,212.0,544.0,466.0,504.0,650.0,525.0,496.0,468.0,559.0,480.0,168.0,212.0,308.0,529.0,474.0,597.0,553.0,560.0,478.0,524.0,589.0,568.0,469.0,504.0,479.0,594.0
S,173480,                    Gemmatimonas aurantiaca,17.0,36.0,38.0,46.0,72.0,89.0,118.0,95.0,59.0,69.0,59.0,70.0,85.0,75.0,53.0,10.0,10.0,10.0,53.0,41.0,32.0,67.0,42.0,22.0,30.0,64.0,25.0,19.0,18.0,26.0,54.0,41.0,51.0,61.0,64.0,35.0,55.0,45.0,61.0,45.0,57.0,30.0,52.0
S,173858,                  Streptomyces luteireticuli,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,
S,173860,                  Streptomyces rectiverticillatus,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,
S,174633,                    Candidatus Kuenenia stuttgartensis,15.0,25.0,18.0,18.0,27.0,23.0,27.0,29.0,15.0,22.0,41.0,21.0,104.0,119.0,94.0,7.0,2.0,10.0,16.0,18.0,10.0,19.0,7.0,8.0,20.0,11.0,13.0,49.0,36.0,49.0,41.0,17.0,32.0,35.0,50.0,35.0,54.0,57.0,33.0,13.0,25.0,20.0,45.0
G,174951,                Ramlibacter,1623.0,3633.0,3319.0,5826.0,6589.0,6798.0,14342.0,9723.0,6567.0,10341.0,11048.0,11853.0,19385.0,15295.0,16445.0,826.0,650.0,1169.0,4494.0,3374.0,2953.0,5103.0,3895.0,3233.0,5255.0,6326.0,5062.0,2096.0,2448.0,4097.0,8317.0,4774.0,7921.0,7892.0,8056.0,7272.0,10550.0,10033.0,11323.0,3807.0,4951.0,5101.0,9824.0
G,175304,                Lentibacillus,,,,6.0,,,,,,,,,,,,,7.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,
S,176102,                  Pseudoalteromonas agarivorans,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,42.0,
G,178440,                  Opitutus,484.0,747.0,878.0,668.0,910.0,887.0,1314.0,765.0,551.0,733.0,865.0,740.0,642.0,618.0,634.0,155.0,108.0,243.0,305.0,280.0,147.0,455.0,239.0,153.0,377.0,566.0,199.0,207.0,418.0,560.0,386.0,138.0,367.0,303.0,352.0,229.0,366.0,356.0,444.0,332.0,519.0,211.0,580.0
G,178469,                    Arenibacter,110.0,64.0,94.0,7.0,191.0,263.0,,106.0,90.0,25.0,29.0,30.0,,,23.0,36.0,158.0,59.0,84.0,136.0,314.0,64.0,96.0,333.0,94.0,117.0,120.0,19.0,18.0,34.0,12.0,44.0,45.0,15.0,19.0,43.0,,119.0,,92.0,52.0,44.0,16.0
S,179636,                  Alicycliphilus denitrificans,8622.0,11574.0,8255.0,23045.0,21091.0,18645.0,24309.0,19531.0,10631.0,13433.0,10512.0,13877.0,30116.0,21886.0,29277.0,8493.0,5934.0,8288.0,18059.0,15875.0,15307.0,20138.0,14354.0,15124.0,15637.0,16837.0,16504.0,8677.0,10297.0,8471.0,21546.0,13979.0,15860.0,21197.0,20014.0,14640.0,22537.0,20679.0,20441.0,16961.0,16944.0,17020.0,21076.0
S,179879,                    Burkholderia anthina,,,43.0,,45.0,,,52.0,52.0,,110.0,,143.0,92.0,151.0,,,20.0,,,,,,,41.0,,,60.0,17.0,,98.0,51.0,,58.0,,,69.0,69.0,,,73.0,,
G,180162,                Cetobacterium,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,6.0,,,,,,,,,,,,,,,,
S,180282,                  Delftia tsuruhatensis,1649.0,2499.0,3363.0,2558.0,3796.0,2644.0,5801.0,2504.0,1802.0,2974.0,4676.0,2558.0,8693.0,6118.0,6024.0,937.0,1054.0,861.0,1606.0,1599.0,2375.0,2837.0,1920.0,1731.0,2394.0,3766.0,1740.0,1827.0,2419.0,2195.0,2731.0,3342.0,2348.0,2152.0,2426.0,1877.0,3231.0,3156.0,3303.0,2271.0,3567.0,3385.0,2254.0
S,180400,                  Sphingopyxis chilensis,129.0,160.0,112.0,68.0,66.0,46.0,43.0,72.0,53.0,33.0,39.0,33.0,33.0,13.0,37.0,436.0,333.0,441.0,153.0,130.0,136.0,162.0,120.0,134.0,87.0,75.0,76.0,1259.0,1275.0,1029.0,367.0,450.0,294.0,280.0,210.0,219.0,132.0,160.0,147.0,90.0,115.0,371.0,270.0
G,180541,                Salinisphaera,2.0,2.0,5.0,,7.0,21.0,,5.0,9.0,23.0,16.0,5.0,27.0,26.0,22.0,4.0,,3.0,9.0,8.0,10.0,15.0,7.0,11.0,,,4.0,4.0,,4.0,10.0,4.0,5.0,10.0,3.0,,4.0,9.0,9.0,6.0,,4.0,9.0
S,181663,                  Desulfosudis oleivorans,6.0,6.0,,9.0,7.0,,10.0,7.0,,8.0,6.0,,69.0,56.0,23.0,6.0,,,4.0,6.0,,18.0,,,7.0,9.0,,18.0,17.0,9.0,,6.0,9.0,7.0,10.0,9.0,15.0,11.0,9.0,5.0,11.0,,
S,182180,                  Aromatoleum anaerobium,9.0,11.0,13.0,18.0,23.0,20.0,36.0,5.0,7.0,18.0,35.0,11.0,60.0,35.0,52.0,,2.0,5.0,10.0,13.0,12.0,28.0,11.0,19.0,20.0,22.0,15.0,,11.0,15.0,27.0,18.0,25.0,15.0,19.0,16.0,20.0,44.0,24.0,19.0,12.0,20.0,26.0
S,182210,                  Pseudodesulfovibrio aespoeensis,,,,81.0,,,,,,,130.0,,194.0,148.0,213.0,,,,,,,149.0,,,,,,,,33.0,46.0,,,,52.0,,,,,,99.0,,
G,182269,                Aurantimonas,45.0,69.0,92.0,24.0,43.0,31.0,67.0,85.0,76.0,75.0,75.0,147.0,72.0,55.0,,76.0,77.0,70.0,50.0,13.0,7.0,66.0,31.0,49.0,90.0,96.0,67.0,15.0,56.0,41.0,20.0,42.0,8.0,29.0,24.0,29.0,49.0,27.0,55.0,47.0,43.0,28.0,30.0
S,182337,                  Erwinia billingiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,
G,182639,                Kribbella,574.0,656.0,573.0,820.0,429.0,415.0,767.0,641.0,670.0,817.0,711.0,1179.0,1393.0,934.0,2374.0,434.0,287.0,391.0,457.0,258.0,297.0,502.0,394.0,500.0,589.0,746.0,712.0,1020.0,658.0,1045.0,504.0,415.0,581.0,949.0,719.0,1098.0,1024.0,852.0,1242.0,521.0,531.0,550.0,575.0
S,182640,                  Kribbella flavida,57.0,11.0,11.0,22.0,,,,23.0,27.0,29.0,,39.0,31.0,,26.0,,10.0,,13.0,,20.0,,15.0,,36.0,,,45.0,12.0,16.0,,,,14.0,27.0,37.0,22.0,,24.0,27.0,16.0,27.0,15.0
G,182709,                Oceanobacillus,,10.0,9.0,,17.0,22.0,20.0,47.0,,32.0,,,59.0,,45.0,,5.0,,,25.0,,,,,,32.0,19.0,,4.0,,,,14.0,17.0,,11.0,,,,14.0,,,
G,182899,                Persephonella,,,,,,,,,,4.0,,2.0,,,3.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,
F,183710,              Deinococcaceae,14132.0,16605.0,13890.0,728.0,306.0,298.0,635.0,416.0,345.0,260.0,219.0,201.0,1906.0,1107.0,1243.0,11767.0,10904.0,11365.0,1297.0,466.0,267.0,591.0,343.0,277.0,353.0,210.0,192.0,12901.0,12720.0,13772.0,2911.0,1509.0,999.0,1112.0,688.0,646.0,475.0,432.0,327.0,1312.0,1123.0,2889.0,2709.0
G1,183758,                    environmental samples,,,,,,,,,,,,,11.0,2.0,2.0,,,,,,,,,,,4.0,,,,,,,,,2.0,,,,3.0,,,,
S,183759,                      uncultured Methanomethylovorans sp.,,,,,,,,,,,,,11.0,2.0,2.0,,,,,,,,,,,4.0,,,,,,,,,2.0,,,,3.0,,,,
S,183795,                    Pseudomonas mediterranea,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,8.0,,,,,,,,,,,,,
C,183925,            Methanobacteria,,,3.0,,,,,,10.0,7.0,2.0,,10.0,,12.0,3.0,4.0,3.0,3.0,7.0,3.0,,,4.0,2.0,2.0,,2.0,4.0,4.0,,,3.0,3.0,,,,9.0,,3.0,,5.0,
C,183963,            Halobacteria,34.0,76.0,62.0,94.0,64.0,75.0,114.0,99.0,63.0,82.0,68.0,85.0,230.0,165.0,146.0,30.0,,57.0,,,29.0,,110.0,33.0,57.0,83.0,42.0,76.0,,64.0,96.0,56.0,69.0,74.0,76.0,70.0,88.0,109.0,80.0,,75.0,64.0,
C,183967,          Thermoplasmata,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
S,184748,                  Paracoccus seriniphilus,,7.0,,,7.0,5.0,5.0,,5.0,5.0,5.0,,,,,4.0,,14.0,7.0,,4.0,5.0,,7.0,7.0,15.0,,9.0,,14.0,4.0,7.0,7.0,,4.0,5.0,5.0,,,,10.0,7.0,7.0
S,184914,                    Corallococcus coralloides,100.0,168.0,143.0,344.0,356.0,343.0,527.0,446.0,303.0,526.0,330.0,378.0,874.0,607.0,757.0,77.0,42.0,127.0,410.0,356.0,357.0,326.0,370.0,294.0,477.0,453.0,337.0,191.0,203.0,301.0,425.0,308.0,369.0,395.0,411.0,453.0,403.0,546.0,333.0,282.0,350.0,346.0,394.0
S,184917,                  Solidesulfovibrio magneticus,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,,,,
G,184923,                Methylocapsa,25.0,7.0,14.0,11.0,24.0,13.0,40.0,28.0,14.0,,39.0,25.0,121.0,77.0,69.0,,12.0,10.0,7.0,6.0,,14.0,13.0,16.0,,11.0,19.0,20.0,8.0,23.0,18.0,6.0,17.0,10.0,17.0,11.0,8.0,22.0,37.0,10.0,4.0,7.0,7.0
S,185300,                      Paludibacter propionicigenes,15.0,17.0,24.0,52.0,70.0,44.0,35.0,46.0,33.0,57.0,84.0,40.0,9.0,11.0,6.0,7.0,12.0,12.0,23.0,54.0,46.0,56.0,39.0,44.0,55.0,59.0,51.0,2.0,4.0,11.0,15.0,32.0,24.0,24.0,18.0,21.0,20.0,6.0,12.0,45.0,35.0,13.0,13.0
S,185642,                    Mycobacterium parmense,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,6.0,,5.0,,,,,6.0,,,,,,
S,185951,                  Sphingomonas aerolata,107.0,90.0,97.0,47.0,38.0,65.0,69.0,97.0,94.0,78.0,91.0,56.0,135.0,182.0,92.0,247.0,272.0,309.0,157.0,102.0,134.0,114.0,124.0,137.0,61.0,137.0,90.0,937.0,1168.0,782.0,282.0,293.0,242.0,171.0,173.0,154.0,122.0,123.0,114.0,138.0,153.0,346.0,245.0
G1,185978,                  unclassified Paenibacillus,62.0,81.0,77.0,54.0,90.0,66.0,72.0,103.0,83.0,270.0,93.0,100.0,155.0,271.0,4945.0,117.0,68.0,93.0,88.0,32.0,41.0,157.0,100.0,60.0,63.0,84.0,85.0,101.0,118.0,65.0,105.0,33.0,35.0,89.0,56.0,48.0,36.0,50.0,47.0,64.0,40.0,49.0,72.0
G1,185979,                  unclassified Bacillus (in: firmicutes),45.0,92.0,64.0,54.0,46.0,46.0,53.0,35.0,81.0,205.0,182.0,85.0,276.0,291.0,182.0,25.0,13.0,18.0,31.0,31.0,31.0,41.0,51.0,24.0,54.0,171.0,47.0,30.0,40.0,28.0,,,45.0,105.0,,27.0,36.0,,30.0,106.0,62.0,57.0,
G,186188,                Xylanimonas,10.0,17.0,,15.0,,10.0,,12.0,17.0,,12.0,23.0,,,,,,10.0,,,12.0,,,,,18.0,,17.0,5.0,12.0,,,,,,,24.0,,,,,,
S,186189,                  Xylanimonas cellulosilytica,,,,,,10.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,186191,                Marinithermus,,,,6.0,,,,,,,6.0,,,4.0,,,,,,6.0,5.0,,,,,,,8.0,,,,,,,5.0,,,,16.0,4.0,,,4.0
S,186192,                  Marinithermus hydrothermalis,,,,6.0,,,,,,,6.0,,,4.0,,,,,,6.0,5.0,,,,,,,8.0,,,,,,,5.0,,,,16.0,4.0,,,4.0
G,186650,                Microvirga,517.0,1142.0,563.0,612.0,642.0,883.0,1245.0,1357.0,812.0,1733.0,1437.0,1846.0,3934.0,3694.0,3260.0,541.0,446.0,552.0,299.0,325.0,366.0,544.0,566.0,479.0,971.0,905.0,1043.0,2983.0,2872.0,2984.0,925.0,376.0,734.0,628.0,638.0,723.0,1084.0,1115.0,925.0,336.0,531.0,372.0,653.0
C,186801,          Clostridia,702.0,772.0,944.0,743.0,1224.0,1139.0,1244.0,1078.0,1423.0,2025.0,1318.0,1617.0,3951.0,2258.0,2649.0,357.0,493.0,265.0,477.0,706.0,822.0,817.0,672.0,835.0,1023.0,1172.0,1090.0,282.0,319.0,327.0,479.0,478.0,693.0,636.0,596.0,535.0,707.0,457.0,749.0,911.0,736.0,3024.0,538.0
O,186802,            Eubacteriales,362.0,317.0,452.0,336.0,535.0,409.0,554.0,317.0,785.0,1149.0,446.0,630.0,1941.0,748.0,1173.0,191.0,208.0,159.0,226.0,260.0,401.0,399.0,257.0,325.0,488.0,574.0,525.0,156.0,198.0,211.0,263.0,225.0,214.0,361.0,254.0,310.0,276.0,186.0,405.0,343.0,302.0,296.0,276.0
F,186803,              Lachnospiraceae,204.0,299.0,333.0,279.0,390.0,473.0,543.0,332.0,385.0,282.0,434.0,652.0,582.0,768.0,452.0,72.0,171.0,56.0,140.0,255.0,276.0,247.0,235.0,319.0,308.0,257.0,247.0,70.0,50.0,55.0,128.0,110.0,366.0,173.0,197.0,113.0,218.0,112.0,253.0,322.0,277.0,2601.0,151.0
F,186804,              Peptostreptococcaceae,126.0,136.0,156.0,127.0,298.0,256.0,145.0,420.0,252.0,573.0,437.0,333.0,1406.0,727.0,992.0,93.0,111.0,49.0,111.0,190.0,139.0,163.0,179.0,175.0,226.0,337.0,284.0,55.0,68.0,56.0,81.0,142.0,95.0,89.0,140.0,111.0,210.0,134.0,86.0,245.0,155.0,119.0,111.0
F,186806,              Eubacteriaceae,,32.0,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,2.0,26.0,,,,,,,,,,,,
F,186807,              Peptococcaceae,,,10.0,,2.0,22.0,,,,,46.0,6.0,7.0,,7.0,,6.0,10.0,13.0,,,,15.0,12.0,,18.0,2.0,,,,,,,13.0,,,,3.0,,,,,
F,186814,              Thermoanaerobacteraceae,,,2.0,,,,,,,,,,,,,,,,,,,,,14.0,,,18.0,,,,,,,,3.0,,,23.0,3.0,,,,
F,186817,              Bacillaceae,2650.0,2861.0,3392.0,2794.0,3520.0,3424.0,5608.0,3257.0,3754.0,12829.0,7201.0,8255.0,17188.0,13223.0,11897.0,1658.0,1969.0,1392.0,2461.0,5132.0,1905.0,3191.0,2959.0,2163.0,3353.0,4902.0,4905.0,2051.0,2103.0,1696.0,1891.0,1433.0,2161.0,2116.0,4771.0,6468.0,2703.0,3004.0,2649.0,3666.0,2878.0,2053.0,2167.0
F,186818,              Caryophanaceae,2156.0,1558.0,1942.0,356.0,439.0,523.0,369.0,602.0,433.0,1017.0,846.0,802.0,2618.0,1840.0,1953.0,1674.0,1265.0,1323.0,410.0,467.0,298.0,528.0,349.0,311.0,719.0,659.0,614.0,3425.0,3745.0,2599.0,439.0,415.0,432.0,353.0,242.0,316.0,382.0,522.0,420.0,585.0,484.0,361.0,293.0
F,186820,              Listeriaceae,,9.0,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,13.0,,,,,,,,,,,,,,
F,186822,              Paenibacillaceae,227.0,262.0,253.0,199.0,237.0,316.0,265.0,290.0,400.0,463.0,242.0,317.0,638.0,534.0,5277.0,171.0,186.0,147.0,174.0,191.0,169.0,344.0,181.0,201.0,230.0,294.0,289.0,194.0,198.0,164.0,183.0,129.0,137.0,187.0,158.0,133.0,185.0,162.0,181.0,216.0,204.0,190.0,164.0
F,186823,              Alicyclobacillaceae,3.0,,,9.0,4.0,28.0,,36.0,10.0,25.0,37.0,,102.0,,58.0,,,4.0,,9.0,,18.0,16.0,9.0,6.0,2.0,27.0,8.0,,3.0,9.0,7.0,8.0,,,12.0,2.0,12.0,38.0,,13.0,,
F,186824,              Thermoactinomycetaceae,397.0,58.0,47.0,58.0,54.0,53.0,80.0,129.0,56.0,119.0,123.0,59.0,129.0,121.0,103.0,34.0,29.0,23.0,31.0,55.0,23.0,42.0,58.0,50.0,39.0,70.0,66.0,11.0,35.0,26.0,36.0,10.0,23.0,37.0,33.0,36.0,42.0,49.0,26.0,51.0,70.0,22.0,44.0
O,186826,            Lactobacillales,1061.0,1501.0,1483.0,2103.0,2726.0,2761.0,15240.0,130.0,176.0,378.0,291.0,281.0,13947.0,3520.0,1550.0,337.0,572.0,138.0,180.0,167.0,417.0,253.0,172.0,164.0,349.0,268.0,190.0,576.0,339.0,1417.0,789.0,382.0,246.0,319.0,315.0,201.0,1698.0,588.0,590.0,228.0,165.0,370.0,397.0
F,186827,              Aerococcaceae,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,327.0,,,,,
F,186828,              Carnobacteriaceae,198.0,75.0,143.0,87.0,209.0,73.0,122.0,130.0,126.0,251.0,291.0,281.0,2935.0,1111.0,1237.0,234.0,239.0,93.0,180.0,167.0,164.0,215.0,147.0,126.0,249.0,258.0,151.0,398.0,330.0,109.0,291.0,194.0,246.0,291.0,255.0,167.0,168.0,260.0,249.0,150.0,106.0,294.0,210.0
G,186831,                Acetoanaerobium,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,186931,                  Thioalkalivibrio nitratireducens,60.0,46.0,47.0,60.0,54.0,93.0,139.0,60.0,53.0,74.0,107.0,84.0,175.0,131.0,170.0,32.0,10.0,34.0,75.0,30.0,39.0,80.0,27.0,45.0,71.0,54.0,26.0,47.0,44.0,117.0,119.0,78.0,93.0,92.0,92.0,72.0,115.0,94.0,94.0,45.0,66.0,54.0,140.0
S,187137,                  Oceanithermus profundus,7.0,3.0,4.0,,12.0,20.0,18.0,15.0,,17.0,10.0,28.0,18.0,23.0,10.0,2.0,24.0,,6.0,3.0,,5.0,,8.0,8.0,9.0,11.0,,,4.0,8.0,,,10.0,8.0,,7.0,8.0,16.0,7.0,,2.0,4.0
G,187144,                Caldithrix,3.0,2.0,,3.0,2.0,,3.0,,,3.0,11.0,,11.0,3.0,9.0,,2.0,,2.0,2.0,,6.0,,,,3.0,,,,,4.0,,,3.0,2.0,4.0,4.0,2.0,5.0,3.0,2.0,,4.0
